year,month,state,utilityNumber,utilityName,dataStatus,residentialCapacityPhotovoltaic,commercialCapacityPhotovoltaic,industrialCapacityPhotovoltaic,transportationCapacityPhotovoltaic,totalCapacityPhotovoltaic,residentialCustomerPhotovoltaic,commercialCustomerPhotovoltaic,industrialCustomerPhotovoltaic,transportationCustomerPhotovoltaic,totalCustomerPhotovoltaic,residentialSoldBackPhotovoltaic,commercialSoldBackPhotovoltaic,industrialSoldBackPhotovoltaic,transportationSoldBackPhotovoltaic,totalSoldBackPhotovoltaic,residentialCapacityWind,commercialCapacityWind,industrialCapacityWind,transportationCapacityWind,totalCapacityWind,residentialCustomerWind,commercialCustomerWind,industrialCustomerWind,transportationCustomerWind,totalCustomerWind,residentialSoldBackWind,commercialSoldBackWind,industrialSoldBackWind,transportationSoldBackWind,totalSoldBackWind,residentialCapacityOther,commercialCapacityOther,industrialCapacityOther,transportationCapacityOther,totalCapacityOther,residentialCustomerOther,commercialCustomerOther,industrialCustomerOther,transportationCustomerOther,totalCustomerOther,residentialSoldBackOther,commercialSoldBackOther,industrialSoldBackOther,transportationSoldBackOther,totalSoldBackOther,residentialCapacityAll,commercialCapacityAll,industrialCapacityAll,transportationCapacityAll,totalCapacityAll,residentialCustomerAll,commercialCustomerAll,industrialCustomerAll,transportationCustomerAll,totalCustomerAll,residentialSoldBackAll,commercialSoldBackAll,industrialSoldBackAll,transportationSoldBackAll,totalSoldBackAll
2011,3,CO,16603,"San Luis Valley R E C, Inc",Final,0.131,0.007,0.03,0,0.17,36,2,2,0,40,,,,,0,0.003,0,0,0,0.003,2,0,0,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,3,CO,15257,"Poudre Valley R  E  A, Inc",Final,0.37,0.04,0,0,0.41,74,2,0,0,76,122.344,3.307,0,0,125.651,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,3,CO,9336,Intermountain Rural Elec Assn,Final,0.411,0,0,0,0.41,92,0,0,0,92,,,,,0,0.044,0,0,0,0.044,14,0,0,0,14,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,3,CO,6604,City of Fort Collins - (CO),Final,0.21,0.455,0.18,0,0.85,67,23,1,0,91,0,0,0,0,0,0.002,0,0,0,0.002,1,0,0,0,1,0,0,0,0,0,0,0,1.63,0,1.63,0,0,4,0,4,0,0,0,0,0,,,,,0,,,,,0,,,,,0
2011,3,CO,3989,City of Colorado Springs - (CO),Final,0.428,0.44,0,0,0.87,122,22,0,0,144,,,,,0,0.002,0.006,0,0,0.008,1,1,0,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,7,CO,3989,City of Colorado Springs - (CO),Final,0.538,0.45,0,0,0.99,143,23,0,0,166,,,,,0,0.002,0.006,0,0,0.008,1,1,0,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,7,CO,9336,Intermountain Rural Elec Assn,Final,0.512,0,0,0,0.51,111,0,0,0,111,,,,,0,0.047,0,0,0,0.047,15,0,0,0,15,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,11,CO,56146,Black Hills/Colorado Elec.Util,Final,2.821,4.569,0.1,,7.49,482,155,1,,638,,,,,0,0.04,0.958,1.8,,2.798,7,14,1,,22,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,11,CO,27058,"High West Energy, Inc",Final,,,,,0,,,,,0,,,,,0,0.2,,,,0.2,1,,,,1,0.331,,,,0.331,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,11,CO,19499,"United Power, Inc",Final,0.367,0.175,0.021,,0.56,77,8,1,,86,,,,,0,0.016,0.012,,,0.028,6,2,,,8,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,11,CO,16603,"San Luis Valley R E C, Inc",Final,0.136,0.04,0.03,,0.21,39,5,2,,46,,,,,0,0.003,,,,0.003,2,,,,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,11,CO,15257,"Poudre Valley R  E  A, Inc",Final,0.49,0.08,,,0.57,98,4,,,102,29.019,1.184,,,30.203,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,11,CO,9336,Intermountain Rural Elec Assn,Final,0.563,,,,0.56,125,,,,125,,,,,0,0.051,,,,0.051,16,,,,16,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,11,CO,6604,City of Fort Collins - (CO),Final,0.32,0.57,0.18,0,1.07,94,30,1,0,125,0,0,0,0,0,0.002,0,0,0,0.002,1,0,0,0,1,0,0,0,0,0,0,0,3.45,0,3.45,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,11,CO,3989,City of Colorado Springs - (CO),Final,0.638,1.1,,,1.74,164,27,,,191,,,,,0,0.002,0.006,,,0.008,1,1,,,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,10,CO,16603,"San Luis Valley R E C, Inc",Final,0.136,0.04,0.03,,0.21,39,5,2,,46,,,,,0,0.003,,,,0.003,2,,,,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,10,CO,15257,"Poudre Valley R  E  A, Inc",Final,0.44,0.08,,,0.52,88,4,,,92,36.68,1.667,,,38.347,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,10,CO,9336,Intermountain Rural Elec Assn,Final,0.542,,,,0.54,119,,,,119,,,,,0,0.051,,,,0.051,16,,,,16,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,10,CO,6604,City of Fort Collins - (CO),Final,0.31,0.54,0.18,0,1.03,92,27,1,0,120,0,0,0,0,0,0.002,0,0,0,0.002,1,0,0,0,1,0,0,0,0,0,0,0,3.45,0,3.45,0,0,5,0,5,0,0,0,0,0,,,,,0,,,,,0,,,,,0
2011,10,CO,3989,City of Colorado Springs - (CO),Final,0.607,1.1,,,1.71,157,27,,,184,,,,,0,0.002,0.006,,,0.008,1,1,,,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,10,CO,19499,"United Power, Inc",Final,0.367,0.175,0.021,0,0.56,77,8,1,0,86,,,,,0,0.016,0.012,0,0,0.028,6,2,0,0,8,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,10,CO,27058,"High West Energy, Inc",Final,,,,,0,,,,,0,,,,,0,0.002,,,,0.002,1,,,,1,0.542,,,,0.542,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,10,CO,56146,Black Hills/Colorado Elec.Util,Final,2.798,4.555,0.1,,7.45,478,154,1,,633,,,,,0,0.04,0.958,1.8,,2.798,7,14,1,,22,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,7,CO,6604,City of Fort Collins - (CO),Final,0.28,0.465,0.18,0,0.93,84,24,1,0,109,0,0,0,0,0,0.002,0,0,0,0.002,1,0,0,0,1,0,0,0,0,0,0,0,3.445,0,3.445,0,0,5,0,5,0,0,0,0,0,,,,,0,,,,,0,,,,,0
2011,12,CO,56146,Black Hills/Colorado Elec.Util,Final,2.845,4.586,0.1,,7.53,484,156,1,,641,,,,,0,0.04,0.958,1.8,,2.798,7,14,1,,22,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,12,CO,27058,"High West Energy, Inc",Final,,,,,0,,,,,0,,,,,0,0.2,,,,0.2,1,,,,1,1.43,,,,1.43,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,12,CO,19499,"United Power, Inc",Final,0.367,0.175,0.021,,0.56,77,8,1,,86,,,,,0,0.016,0.012,,,0.028,6,2,,,8,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,12,CO,16603,"San Luis Valley R E C, Inc",Final,0.136,0.04,0.03,,0.21,39,5,2,,46,,,,,0,0.003,,,,0.003,2,,,,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,12,CO,15257,"Poudre Valley R  E  A, Inc",Final,0.485,0.06,0,,0.55,97,3,0,,100,31.656,0.979,0,,32.635,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,12,CO,6604,City of Fort Collins - (CO),Final,0.325,0.57,0.18,,1.08,95,30,1,,126,0,0,0,,0,0.002,0,0,,0.002,1,0,0,,1,0,0,0,,0,0,0,3.45,0,3.45,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,12,CO,3989,City of Colorado Springs - (CO),Final,0.736,1.229,,,1.97,183,33,,,216,,,,,0,0.002,0.006,,,0.008,1,1,,,2,,,,,0,,,,,0,,,,,0,,,,,0,0.389,0.109,,,0.498,287,6,,,293,,,,,0
2011,12,CO,9336,Intermountain Rural Elec Assn,Final,0.596,,,,0.6,132,,,,132,,,,,0,0.051,,,,0.051,16,,,,16,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,8,CO,19499,"United Power, Inc",Final,0.316,0.175,0.021,0,0.51,69,8,1,0,78,,,,,0,0.016,0.012,0,0,0.028,6,2,0,0,8,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,8,CO,16603,"San Luis Valley R E C, Inc",Final,0.13,0.039,0.03,0,0.2,37,5,2,0,44,,,,,0,0.003,0,0,0,0.003,2,0,0,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,8,CO,15257,"Poudre Valley R  E  A, Inc",Final,0.42,0.04,0,0,0.46,84,2,0,0,86,70.569,1.68,0,0,72.249,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,8,CO,9336,Intermountain Rural Elec Assn,Final,0.516,0,0,0,0.52,112,0,0,0,112,,,,,0,0.047,0,0,0,0.047,15,0,0,0,15,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,8,CO,6604,City of Fort Collins - (CO),Final,0.283,0.49,0.18,0,0.95,85,25,1,0,111,,,,,0,0.002,0,0,0,0.002,1,0,0,0,1,,,,,0,0,0,3.45,0,3.45,0,0,5,0,5,,,,,0,,,,,0,,,,,0,,,,,0
2011,8,CO,3989,City of Colorado Springs - (CO),Final,0.589,0.467,0,0,1.06,154,24,0,0,178,,,,,0,0.002,0.006,0,0,0.008,1,1,0,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,8,CO,27058,"High West Energy, Inc",Final,,,,,0,,,,,0,,,,,0,0.002,0,0,0,0.002,1,0,0,0,1,0,0,0,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,8,CO,56146,Black Hills/Colorado Elec.Util,Final,2.721,4.541,0.1,0,7.36,466,152,1,0,619,,,,,0,0.04,0.958,1.8,0,2.798,7,14,1,0,22,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,7,CO,15257,"Poudre Valley R  E  A, Inc",Final,0.41,0.04,0,0,0.45,82,2,0,0,84,67.34,1.642,0,0,68.982,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,7,CO,16603,"San Luis Valley R E C, Inc",Final,0.137,0.029,0.03,0,0.2,37,3,2,0,42,,,,,0,0.003,0,0,0,0.003,2,0,0,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,7,CO,56146,Black Hills/Colorado Elec.Util,Final,2.705,4.541,0.1,0,7.35,465,152,1,0,618,,,,,0,0.04,0.958,1.8,0,2.798,7,14,1,0,22,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,7,CO,19499,"United Power, Inc",Final,0.293,0.153,0.021,0,0.47,66,6,1,0,73,,,,,0,0.016,0.012,0,0,0.028,6,2,0,0,8,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,9,CO,56146,Black Hills/Colorado Elec.Util,Final,2.77,4.541,0.1,0,7.41,474,152,1,0,627,,,,,0,0.04,0.958,1.8,0,2.798,7,14,1,0,22,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,9,CO,27058,"High West Energy, Inc",Final,,,,,0,,,,,0,,,,,0,0.002,0,0,0,0.002,1,0,0,0,1,0.255,0,0,0,0.255,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,9,CO,19499,"United Power, Inc",Final,0.339,0.175,0.021,0,0.54,74,8,1,0,83,,,,,0,0.016,0.012,0,0,0.028,6,2,0,0,8,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,9,CO,16603,"San Luis Valley R E C, Inc",Final,0.136,0.04,0.03,0,0.21,39,5,2,0,46,,,,,0,0.003,0,0,0,0.003,2,0,0,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,9,CO,3989,City of Colorado Springs - (CO),Final,0.604,0.467,0,0,1.07,156,24,0,0,180,,,,,0,0.002,0.006,0,0,0.008,1,1,0,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,9,CO,6604,City of Fort Collins - (CO),Final,0.298,0.5,0.18,0,0.98,89,26,1,0,116,0,0,0,0,0,0.002,0,0,0,0.002,1,0,0,0,1,0,0,0,0,0,0,0,3.45,0,3.45,0,0,5,0,5,0,0,0,0,0,,,,,0,,,,,0,,,,,0
2011,9,CO,15257,"Poudre Valley R  E  A, Inc",Final,0.435,0.08,0,0,0.52,87,4,0,0,91,19.455,0.894,0,0,20.349,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2011,9,CO,9336,Intermountain Rural Elec Assn,Final,0.539,0,0,0,0.54,117,0,0,0,117,,,,,0,0.051,0,0,0,0.051,16,0,0,0,16,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2012,3,CO,19499,"United Power, Inc",Final,0.374,0.175,0.021,,0.57,78,8,1,,87,,,,,0,0.016,0.012,0,,0.028,6,2,0,,8,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2012,3,CO,15466,Public Service Co of Colorado,Final,43.168,73.781,0.605,,117.55,8670,1543,10,,10223,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2012,3,CO,27058,"High West Energy, Inc",Final,,,,,0,,,,,0,,,,,0,0.02,,,,0.02,1,,,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2012,3,CO,56146,Black Hills/Colorado Elec.Util,Final,2.949,5.599,0.1,,8.65,502,172,1,,675,,,,,0,0,0,1.8,,1.8,0,0,1,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2012,3,CO,15257,"Poudre Valley R  E  A, Inc",Final,0.48,0.14,0,0,0.62,96,7,0,0,103,42.53,3.101,0,0,45.631,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2012,3,CO,9336,Intermountain Rural Elec Assn,Final,0.638,,,,0.64,139,,,,139,,,,,0,0.051,,,,0.051,16,,,,16,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2012,3,CO,6604,City of Fort Collins - (CO),Final,0.325,0.57,0.18,,1.08,95,31,1,,127,0,0,0,,0,0.002,0,0,,0.002,1,0,0,,1,0,0,0,,0,,,,,0,,,,,0,,,,,0,0,0,3.445,,3.445,0,0,5,,5,0,0,0,,0
