Estimated Small Scale Solar PV Capacity and Generation- Current Month,,,,,,,,,,,
,,,,Capacity MW,,,,Generation MWh,,,
2020,12,PA,Preliminary,273.108,138.920,46.686,458.714,"17,207.410","10,760.168","3,899.195","31,866.773"
2020,12,RI,Preliminary,60.600,172.128,0.636,233.364,"4,580.688","14,298.219",53.095,"18,932.001"
2020,12,SC,Preliminary,194.464,46.230,24.146,264.840,"17,020.060","5,035.749","2,652.059","24,707.868"
2020,12,SD,Preliminary,0.697,0.395,.,1.092,58.817,31.780,.,90.596
2020,12,TN,Preliminary,18.383,42.408,NM,60.821,"1,616.410","3,726.446",NM,"5,345.563"
2020,12,TX,Preliminary,903.175,187.482,NM,"1,092.578","99,649.570","21,455.941",NM,"121,327.505"
2020,12,UT,Preliminary,265.785,57.554,6.056,329.395,"26,537.400","5,809.134",615.534,"32,962.068"
2020,12,VA,Preliminary,112.872,47.594,1.899,162.365,"11,312.314","4,768.578",185.533,"16,266.424"
2020,12,VT,Preliminary,84.606,47.696,1.387,133.689,"4,899.852","3,123.247",93.518,"8,116.617"
2020,12,WA,Preliminary,174.914,28.558,0.411,203.883,"6,834.868","1,108.961",17.691,"7,961.519"
2020,12,WI,Preliminary,47.524,51.949,15.704,115.177,"3,220.620","3,380.221","1,033.505","7,634.346"
2020,12,WV,Preliminary,7.676,3.386,0.058,11.120,643.247,280.301,5.127,928.676
2020,12,WY,Preliminary,7.365,1.395,0.276,9.036,629.326,110.330,20.592,760.248
2020,12,US,Preliminary,"17,237.567","8,430.379","2,055.673","27,723.619","1,538,303.137","783,243.250","204,338.774","2,525,885.161"
"Due to incorrect reporting by sector, the sector allocations for small scale solar have been estimated for February 2018.
NM = Not Meaningful due to large relative standard error or excessive percentage change.
These estimates are for small-scale PV units less than 1 MW that are not reported on the form EIA-860",,,,,,,,,,,
